Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-11 00:00:00-05:00,15622.25,15839.5,15475.0,15831.0,709363,0.0,0.0
2022-01-12 00:00:00-05:00,15826.0,16009.25,15762.5,15887.25,671265,0.0,0.0
2022-01-13 00:00:00-05:00,15901.0,15979.75,15458.25,15490.25,763018,0.0,0.0
2022-01-14 00:00:00-05:00,15505.0,15621.0,15312.5,15595.75,795897,0.0,0.0
2022-01-18 00:00:00-05:00,15616.75,15653.25,15170.75,15206.0,868066,0.0,0.0
2022-01-19 00:00:00-05:00,15238.75,15372.0,15011.25,15033.5,776612,0.0,0.0
2022-01-20 00:00:00-05:00,15042.25,15340.25,14646.75,14841.0,771410,0.0,0.0
2022-01-21 00:00:00-05:00,14722.0,14858.5,14408.5,14426.5,1041723,0.0,0.0
2022-01-24 00:00:00-05:00,14410.0,14582.0,13706.0,14501.0,1323080,0.0,0.0
2022-01-25 00:00:00-05:00,14495.0,14499.0,13890.0,14140.75,957800,0.0,0.0
2022-01-26 00:00:00-05:00,13945.5,14639.75,13945.5,14158.5,908549,0.0,0.0
2022-01-27 00:00:00-05:00,14194.0,14409.25,13844.5,13986.75,866647,0.0,0.0
2022-01-28 00:00:00-05:00,14167.75,14442.0,13831.0,14433.0,878243,0.0,0.0
2022-01-31 00:00:00-05:00,14454.0,14914.75,14353.25,14905.0,654278,0.0,0.0
2022-02-01 00:00:00-05:00,14868.75,15137.0,14729.25,14994.75,597305,0.0,0.0
2022-02-02 00:00:00-05:00,15129.0,15260.0,14825.0,15114.5,645396,0.0,0.0
2022-02-03 00:00:00-05:00,14852.5,14870.0,14456.25,14492.25,731581,0.0,0.0
2022-02-04 00:00:00-05:00,14770.0,14825.75,14362.75,14685.5,763735,0.0,0.0
2022-02-07 00:00:00-05:00,14682.5,14806.25,14511.5,14559.75,562312,0.0,0.0
2022-02-08 00:00:00-05:00,14600.0,14776.0,14467.5,14734.5,611858,0.0,0.0
2022-02-09 00:00:00-05:00,14746.25,15068.0,14741.0,15038.25,529886,0.0,0.0
2022-02-10 00:00:00-05:00,15062.25,15062.25,14622.0,14701.0,834478,0.0,0.0
2022-02-11 00:00:00-05:00,14698.25,14766.75,14181.0,14240.5,835981,0.0,0.0
2022-02-14 00:00:00-05:00,14250.0,14394.0,14031.0,14253.0,734224,0.0,0.0
2022-02-15 00:00:00-05:00,14257.0,14614.75,14223.25,14609.5,558472,0.0,0.0
2022-02-16 00:00:00-05:00,14588.0,14668.5,14381.0,14600.0,594304,0.0,0.0
2022-02-17 00:00:00-05:00,14592.25,14619.5,14131.5,14164.75,631084,0.0,0.0
2022-02-18 00:00:00-05:00,14156.25,14299.0,13906.25,13996.0,760914,0.0,0.0
2022-02-22 00:00:00-05:00,13952.75,14157.5,13580.25,13862.75,1114720,0.0,0.0
2022-02-23 00:00:00-05:00,13928.25,14068.75,13471.25,13507.5,713187,0.0,0.0
2022-02-24 00:00:00-05:00,13484.25,13983.25,13025.75,13966.5,1122732,0.0,0.0
2022-02-25 00:00:00-05:00,13909.5,14196.25,13760.25,14180.5,784997,0.0,0.0
2022-02-28 00:00:00-05:00,13900.25,14292.25,13683.0,14228.0,753711,0.0,0.0
2022-03-01 00:00:00-05:00,14219.25,14327.75,13900.0,14005.5,645171,0.0,0.0
2022-03-02 00:00:00-05:00,14026.25,14290.0,13911.5,14239.25,629022,0.0,0.0
2022-03-03 00:00:00-05:00,14196.5,14391.0,13955.0,14030.5,596925,0.0,0.0
2022-03-04 00:00:00-05:00,14069.25,14086.5,13733.75,13839.75,725774,0.0,0.0
2022-03-07 00:00:00-05:00,13763.5,13879.75,13265.0,13320.75,717846,0.0,0.0
2022-03-08 00:00:00-05:00,13283.0,13666.0,13103.25,13267.0,841407,0.0,0.0
2022-03-09 00:00:00-05:00,13192.25,13821.75,13189.75,13734.75,650826,0.0,0.0
2022-03-10 00:00:00-05:00,13778.0,13778.0,13396.25,13586.0,611077,0.0,0.0
2022-03-11 00:00:00-05:00,13577.25,13860.75,13281.75,13292.0,439890,0.0,0.0
2022-03-14 00:00:00-04:00,13362.0,13447.5,13015.5,13045.5,402608,0.0,0.0
2022-03-15 00:00:00-04:00,13082.0,13489.0,12944.0,13451.75,284955,0.0,0.0
2022-03-16 00:00:00-04:00,13451.75,14029.25,13420.5,13953.0,274498,0.0,0.0
2022-03-17 00:00:00-04:00,13999.0,14136.25,13822.75,14111.75,125160,0.0,0.0
2022-03-18 00:00:00-04:00,14060.0,14095.3095703125,13970.5,14095.3095703125,558776,0.0,0.0
2022-03-21 00:00:00-04:00,14404.0,14466.75,14183.75,14370.5,589629,0.0,0.0
2022-03-22 00:00:00-04:00,14390.0,14690.75,14293.5,14654.0,509918,0.0,0.0
2022-03-23 00:00:00-04:00,14654.0,14682.25,14441.0,14447.0,555130,0.0,0.0
2022-03-24 00:00:00-04:00,14462.75,14769.75,14433.5,14763.75,512267,0.0,0.0
2022-03-25 00:00:00-04:00,14765.0,14840.5,14572.5,14755.75,553931,0.0,0.0
2022-03-28 00:00:00-04:00,14756.0,14997.0,14658.75,14985.25,532125,0.0,0.0
2022-03-29 00:00:00-04:00,14981.0,15268.75,14956.5,15237.75,552951,0.0,0.0
2022-03-30 00:00:00-04:00,15222.0,15262.25,15012.25,15071.5,513516,0.0,0.0
2022-03-31 00:00:00-04:00,15100.5,15180.75,14855.5,14868.75,560785,0.0,0.0
2022-04-01 00:00:00-04:00,14918.75,14960.0,14725.0,14863.75,539029,0.0,0.0
2022-04-04 00:00:00-04:00,14846.0,15174.5,14801.0,15164.25,460171,0.0,0.0
2022-04-05 00:00:00-04:00,15155.5,15198.0,14780.25,14828.0,563198,0.0,0.0
2022-04-06 00:00:00-04:00,14861.0,14861.25,14394.75,14505.25,783213,0.0,0.0
2022-04-07 00:00:00-04:00,14496.25,14633.75,14317.0,14536.0,645737,0.0,0.0
2022-04-08 00:00:00-04:00,14536.25,14642.25,14310.5,14327.0,640156,0.0,0.0
2022-04-11 00:00:00-04:00,14345.0,14382.0,13984.75,14000.0,577477,0.0,0.0
2022-04-12 00:00:00-04:00,14006.25,14284.25,13881.25,13945.0,704351,0.0,0.0
2022-04-13 00:00:00-04:00,13952.75,14266.5,13921.0,14221.5,530164,0.0,0.0
2022-04-14 00:00:00-04:00,14211.5,14296.25,13876.5,13893.75,548400,0.0,0.0
2022-04-18 00:00:00-04:00,13892.0,14002.5,13729.5,13907.75,492103,0.0,0.0
2022-04-19 00:00:00-04:00,13962.75,14242.0,13828.0,14217.25,556357,0.0,0.0
2022-04-20 00:00:00-04:00,14104.75,14298.0,13956.5,14004.75,604344,0.0,0.0
2022-04-21 00:00:00-04:00,14070.0,14283.0,13667.5,13728.25,685788,0.0,0.0
2022-04-22 00:00:00-04:00,13720.0,13781.0,13297.0,13353.5,732255,0.0,0.0
2022-04-25 00:00:00-04:00,13334.25,13549.75,13184.0,13535.75,749649,0.0,0.0
2022-04-26 00:00:00-04:00,13523.5,13583.75,12801.5,13016.0,755330,0.0,0.0
2022-04-27 00:00:00-04:00,12881.0,13255.25,12878.25,13009.0,817196,0.0,0.0
2022-04-28 00:00:00-04:00,13191.0,13542.0,13033.0,13454.75,756360,0.0,0.0
2022-04-29 00:00:00-04:00,13219.5,13433.0,12831.75,12852.0,723386,0.0,0.0
2022-05-02 00:00:00-04:00,12892.25,13084.5,12709.75,13073.0,763818,0.0,0.0
2022-05-03 00:00:00-04:00,13051.75,13183.75,12968.5,13087.5,662216,0.0,0.0
2022-05-04 00:00:00-04:00,13121.0,13555.25,12883.0,13531.25,703191,0.0,0.0
2022-05-05 00:00:00-04:00,13500.25,13548.0,12705.25,12858.0,877795,0.0,0.0
2022-05-06 00:00:00-04:00,12883.25,12928.75,12519.0,12695.75,852234,0.0,0.0
2022-05-09 00:00:00-04:00,12605.0,12637.25,12135.25,12193.75,816033,0.0,0.0
2022-05-10 00:00:00-04:00,12206.0,12547.0,12102.25,12349.0,853859,0.0,0.0
2022-05-11 00:00:00-04:00,12328.75,12553.25,11938.5,11969.75,865890,0.0,0.0
2022-05-12 00:00:00-04:00,12004.5,12132.75,11689.0,11947.25,878238,0.0,0.0
2022-05-13 00:00:00-04:00,11891.5,12432.0,11891.5,12382.75,663517,0.0,0.0
2022-05-16 00:00:00-04:00,12409.0,12498.75,12190.25,12244.75,623715,0.0,0.0
2022-05-17 00:00:00-04:00,12235.5,12578.0,12234.0,12560.25,653222,0.0,0.0
2022-05-18 00:00:00-04:00,12572.0,12594.0,11862.75,11935.5,735386,0.0,0.0
2022-05-19 00:00:00-04:00,11907.0,12076.75,11704.0,11878.25,827741,0.0,0.0
2022-05-20 00:00:00-04:00,11898.0,12096.75,11491.25,11840.75,806781,0.0,0.0
2022-05-23 00:00:00-04:00,11866.0,12075.5,11783.75,12035.25,660213,0.0,0.0
2022-05-24 00:00:00-04:00,11915.0,11918.0,11576.25,11771.0,717429,0.0,0.0
2022-05-25 00:00:00-04:00,11808.0,12036.0,11672.0,11942.25,671096,0.0,0.0
2022-05-26 00:00:00-04:00,11887.5,12343.0,11848.25,12279.25,611884,0.0,0.0
2022-05-27 00:00:00-04:00,12250.0,12720.25,12222.0,12677.75,615992,0.0,0.0
2022-05-31 00:00:00-04:00,12705.25,12883.0,12480.0,12646.5,832388,0.0,0.0
2022-06-01 00:00:00-04:00,12662.5,12823.5,12454.75,12551.0,682211,0.0,0.0
2022-06-02 00:00:00-04:00,12549.75,12903.75,12442.5,12893.75,620008,0.0,0.0
2022-06-03 00:00:00-04:00,12896.0,12945.25,12503.0,12551.0,652955,0.0,0.0
2022-06-06 00:00:00-04:00,12549.75,12810.0,12527.0,12605.0,536936,0.0,0.0
2022-06-07 00:00:00-04:00,12605.25,12740.25,12412.5,12711.5,577970,0.0,0.0
2022-06-08 00:00:00-04:00,12680.5,12783.0,12579.25,12615.75,583652,0.0,0.0
2022-06-09 00:00:00-04:00,12625.0,12726.0,12255.25,12275.0,690155,0.0,0.0
2022-06-10 00:00:00-04:00,12301.5,12338.75,11823.0,11840.0,617395,0.0,0.0
2022-06-13 00:00:00-04:00,11768.0,11772.5,11254.5,11296.5,530220,0.0,0.0
2022-06-14 00:00:00-04:00,11334.25,11505.5,11205.0,11314.25,378134,0.0,0.0
2022-06-15 00:00:00-04:00,11329.75,11759.25,11327.75,11593.75,265812,0.0,0.0
2022-06-16 00:00:00-04:00,11608.5,11737.75,11036.75,11124.75,146538,0.0,0.0
2022-06-17 00:00:00-04:00,11178.5,11290.0,11130.25,11130.3896484375,731831,0.0,0.0
2022-06-20 00:00:00-04:00,11332.5,11437.5,11273.75,11420.75,731831,0.0,0.0
2022-06-21 00:00:00-04:00,11332.5,11678.25,11273.75,11577.25,657209,0.0,0.0
2022-06-22 00:00:00-04:00,11579.75,11745.75,11320.5,11565.75,638960,0.0,0.0
2022-06-23 00:00:00-04:00,11542.75,11766.75,11460.5,11737.5,630125,0.0,0.0
2022-06-24 00:00:00-04:00,11687.75,12148.5,11684.75,12140.5,563303,0.0,0.0
2022-06-27 00:00:00-04:00,12137.5,12262.0,11994.25,12040.5,565803,0.0,0.0
2022-06-28 00:00:00-04:00,12076.25,12174.25,11661.5,11674.25,634694,0.0,0.0
2022-06-29 00:00:00-04:00,11680.5,11749.0,11564.5,11691.0,590173,0.0,0.0
2022-06-30 00:00:00-04:00,11691.5,11696.75,11351.0,11529.5,738071,0.0,0.0
2022-07-01 00:00:00-04:00,11507.5,11629.75,11381.75,11611.25,605401,0.0,0.0
2022-07-05 00:00:00-04:00,11606.0,11815.75,11389.25,11808.5,790937,0.0,0.0
2022-07-06 00:00:00-04:00,11820.25,11974.25,11727.75,11880.25,649912,0.0,0.0
2022-07-07 00:00:00-04:00,11901.25,12168.5,11836.5,12138.5,550463,0.0,0.0
2022-07-08 00:00:00-04:00,12115.0,12211.0,11952.5,12152.0,640445,0.0,0.0
2022-07-11 00:00:00-04:00,12149.75,12149.75,11853.0,11884.25,578336,0.0,0.0
2022-07-12 00:00:00-04:00,11900.5,12025.5,11712.0,11779.0,607949,0.0,0.0
2022-07-13 00:00:00-04:00,11780.0,11970.0,11479.25,11762.25,732270,0.0,0.0
2022-07-14 00:00:00-04:00,11729.5,11835.0,11511.25,11797.5,654560,0.0,0.0
2022-07-15 00:00:00-04:00,11810.5,12021.5,11740.25,12007.5,560980,0.0,0.0
2022-07-18 00:00:00-04:00,12043.5,12186.5,11857.0,11907.0,553676,0.0,0.0
2022-07-19 00:00:00-04:00,11909.5,12328.5,11889.5,12274.0,585591,0.0,0.0
2022-07-20 00:00:00-04:00,12330.5,12517.5,12235.75,12465.25,643607,0.0,0.0
2022-07-21 00:00:00-04:00,12440.0,12655.25,12373.5,12640.0,605066,0.0,0.0
2022-07-22 00:00:00-04:00,12559.25,12698.5,12343.75,12423.5,634548,0.0,0.0
2022-07-25 00:00:00-04:00,12444.5,12498.5,12266.5,12354.5,491612,0.0,0.0
2022-07-26 00:00:00-04:00,12311.25,12334.0,12072.0,12112.5,536287,0.0,0.0
2022-07-27 00:00:00-04:00,12192.0,12690.0,12191.75,12619.0,634889,0.0,0.0
2022-07-28 00:00:00-04:00,12580.0,12948.0,12449.0,12737.5,645261,0.0,0.0
2022-07-29 00:00:00-04:00,12920.25,13012.0,12744.25,12971.5,592416,0.0,0.0
2022-08-01 00:00:00-04:00,12981.0,13108.75,12851.75,12962.5,622511,0.0,0.0
2022-08-02 00:00:00-04:00,12974.25,13097.0,12814.75,12924.5,674564,0.0,0.0
2022-08-03 00:00:00-04:00,12921.0,13310.25,12867.25,13271.5,690056,0.0,0.0
2022-08-04 00:00:00-04:00,13247.0,13356.0,13184.75,13327.0,542680,0.0,0.0
2022-08-05 00:00:00-04:00,13327.25,13384.5,13085.0,13228.75,687792,0.0,0.0
2022-08-08 00:00:00-04:00,13227.75,13419.25,13120.5,13183.25,597182,0.0,0.0
2022-08-09 00:00:00-04:00,13206.25,13233.75,12963.25,13031.5,553704,0.0,0.0
2022-08-10 00:00:00-04:00,13050.0,13408.0,12982.0,13392.0,602069,0.0,0.0
2022-08-11 00:00:00-04:00,13380.5,13575.0,13285.0,13311.25,614816,0.0,0.0
2022-08-12 00:00:00-04:00,13344.25,13583.25,13312.0,13577.75,500647,0.0,0.0
2022-08-15 00:00:00-04:00,13571.5,13706.0,13495.25,13681.25,463768,0.0,0.0
2022-08-16 00:00:00-04:00,13674.75,13740.75,13522.75,13658.25,555979,0.0,0.0
2022-08-17 00:00:00-04:00,13658.0,13672.0,13406.25,13493.25,610667,0.0,0.0
2022-08-18 00:00:00-04:00,13503.0,13575.5,13410.75,13523.25,530513,0.0,0.0
2022-08-19 00:00:00-04:00,13534.25,13534.5,13228.75,13268.5,618758,0.0,0.0
2022-08-22 00:00:00-04:00,13226.5,13226.5,12874.5,12909.75,599946,0.0,0.0
2022-08-23 00:00:00-04:00,12933.75,13018.5,12823.5,12896.5,570278,0.0,0.0
2022-08-24 00:00:00-04:00,12892.0,13011.25,12825.75,12929.75,503227,0.0,0.0
2022-08-25 00:00:00-04:00,12944.0,13161.5,12925.0,13156.0,543666,0.0,0.0
2022-08-26 00:00:00-04:00,13153.75,13220.0,12557.5,12620.5,753862,0.0,0.0
2022-08-29 00:00:00-04:00,12485.0,12610.25,12401.5,12492.75,693093,0.0,0.0
2022-08-30 00:00:00-04:00,12503.5,12658.25,12247.5,12358.75,797462,0.0,0.0
2022-08-31 00:00:00-04:00,12366.0,12513.0,12276.25,12285.25,672068,0.0,0.0
2022-09-01 00:00:00-04:00,12284.75,12299.5,12017.75,12292.25,820606,0.0,0.0
2022-09-02 00:00:00-04:00,12297.75,12461.5,12040.25,12104.25,835870,0.0,0.0
2022-09-06 00:00:00-04:00,12110.5,12244.5,11930.0,12019.0,895450,0.0,0.0
2022-09-07 00:00:00-04:00,12019.75,12306.25,11921.5,12263.25,677159,0.0,0.0
2022-09-08 00:00:00-04:00,12267.75,12379.5,12115.75,12321.75,737024,0.0,0.0
2022-09-09 00:00:00-04:00,12345.25,12613.75,12329.5,12592.5,535984,0.0,0.0
2022-09-12 00:00:00-04:00,12626.0,12773.75,12573.25,12740.75,444255,0.0,0.0
2022-09-13 00:00:00-04:00,12769.5,12889.0,12003.25,12036.5,463841,0.0,0.0
2022-09-14 00:00:00-04:00,12050.25,12173.0,12001.75,12142.0,270232,0.0,0.0
2022-09-15 00:00:00-04:00,12159.0,12187.75,11866.5,11934.75,169928,0.0,0.0
2022-09-16 00:00:00-04:00,11880.0,11880.0,11750.5,11814.580078125,754923,0.0,0.0
2022-09-19 00:00:00-04:00,11920.0,12066.25,11792.25,12024.0,632663,0.0,0.0
2022-09-20 00:00:00-04:00,12045.75,12092.5,11828.25,11922.25,704882,0.0,0.0
2022-09-21 00:00:00-04:00,11946.0,12140.5,11647.5,11710.0,822965,0.0,0.0
2022-09-22 00:00:00-04:00,11661.25,11796.0,11510.0,11565.5,786180,0.0,0.0
2022-09-23 00:00:00-04:00,11583.75,11600.25,11229.0,11376.75,799378,0.0,0.0
2022-09-26 00:00:00-04:00,11362.5,11537.75,11256.5,11316.25,809853,0.0,0.0
2022-09-27 00:00:00-04:00,11315.5,11568.25,11233.5,11333.75,841073,0.0,0.0
2022-09-28 00:00:00-04:00,11361.0,11613.5,11141.5,11555.75,897742,0.0,0.0
2022-09-29 00:00:00-04:00,11544.0,11567.25,11091.5,11228.25,891823,0.0,0.0
2022-09-30 00:00:00-04:00,11220.0,11357.25,11024.25,11035.5,878168,0.0,0.0
2022-10-03 00:00:00-04:00,11030.0,11358.25,10890.75,11285.75,757581,0.0,0.0
2022-10-04 00:00:00-04:00,11314.5,11675.0,11281.5,11640.75,772885,0.0,0.0
2022-10-05 00:00:00-04:00,11630.25,11711.0,11366.5,11623.75,700889,0.0,0.0
2022-10-06 00:00:00-04:00,11628.0,11729.75,11505.25,11541.75,773914,0.0,0.0
2022-10-07 00:00:00-04:00,11494.5,11564.5,11043.25,11101.5,759141,0.0,0.0
2022-10-10 00:00:00-04:00,11067.75,11136.5,10876.75,10984.5,757732,0.0,0.0
2022-10-11 00:00:00-04:00,10987.0,11039.5,10767.25,10845.0,833906,0.0,0.0
2022-10-12 00:00:00-04:00,10875.0,10976.75,10805.5,10840.5,731214,0.0,0.0
2022-10-13 00:00:00-04:00,10859.0,11142.75,10484.75,11083.75,1050244,0.0,0.0
2022-10-14 00:00:00-04:00,11064.75,11253.5,10726.75,10744.0,843525,0.0,0.0
2022-10-17 00:00:00-04:00,10720.0,11146.25,10713.0,11110.25,638720,0.0,0.0
2022-10-18 00:00:00-04:00,11161.25,11431.75,11081.5,11198.75,832215,0.0,0.0
2022-10-19 00:00:00-04:00,11320.25,11382.75,11049.0,11153.25,733776,0.0,0.0
2022-10-20 00:00:00-04:00,11134.0,11328.75,11008.0,11090.75,739672,0.0,0.0
2022-10-21 00:00:00-04:00,11061.25,11386.25,10935.5,11358.5,840952,0.0,0.0
2022-10-24 00:00:00-04:00,11393.75,11530.25,11207.75,11478.75,715016,0.0,0.0
2022-10-25 00:00:00-04:00,11453.75,11734.0,11430.25,11713.5,660210,0.0,0.0
2022-10-26 00:00:00-04:00,11510.0,11703.5,11415.0,11446.0,784638,0.0,0.0
2022-10-27 00:00:00-04:00,11417.75,11537.5,10921.5,11235.25,769071,0.0,0.0
2022-10-28 00:00:00-04:00,11122.75,11626.0,11062.0,11587.0,728261,0.0,0.0
2022-10-31 00:00:00-04:00,11592.5,11595.0,11367.25,11447.25,607680,0.0,0.0
2022-11-01 00:00:00-04:00,11455.0,11619.0,11288.75,11332.0,605362,0.0,0.0
2022-11-02 00:00:00-04:00,11320.25,11460.0,10909.0,10944.5,770983,0.0,0.0
2022-11-03 00:00:00-04:00,10938.0,10996.0,10708.0,10728.0,705050,0.0,0.0
2022-11-04 00:00:00-04:00,10712.0,10974.25,10636.0,10890.25,881129,0.0,0.0
2022-11-07 00:00:00-05:00,10786.5,11038.5,10751.0,11014.25,554692,0.0,0.0
2022-11-08 00:00:00-05:00,11016.0,11231.25,10928.75,11094.25,728868,0.0,0.0
2022-11-09 00:00:00-05:00,11089.25,11164.25,10822.25,10830.75,669071,0.0,0.0
2022-11-10 00:00:00-05:00,10841.0,11677.0,10808.0,11632.25,862147,0.0,0.0
2022-11-11 00:00:00-05:00,11669.75,11876.75,11569.25,11848.0,682257,0.0,0.0
2022-11-14 00:00:00-05:00,11791.0,11898.5,11702.0,11734.75,576678,0.0,0.0
2022-11-15 00:00:00-05:00,11768.5,12118.75,11761.75,11904.25,771822,0.0,0.0
2022-11-16 00:00:00-05:00,11882.0,11963.0,11706.5,11739.5,577864,0.0,0.0
2022-11-17 00:00:00-05:00,11777.75,11827.5,11528.25,11710.5,658469,0.0,0.0
2022-11-18 00:00:00-05:00,11747.75,11843.0,11607.0,11708.0,585873,0.0,0.0
2022-11-21 00:00:00-05:00,11723.0,11756.0,11553.0,11588.0,477970,0.0,0.0
2022-11-22 00:00:00-05:00,11588.0,11759.25,11526.5,11754.5,531087,0.0,0.0
2022-11-23 00:00:00-05:00,11741.5,11892.75,11720.0,11862.75,474645,0.0,0.0
2022-11-25 00:00:00-05:00,11878.0,11933.0,11766.25,11782.75,252366,0.0,0.0
2022-11-28 00:00:00-05:00,11731.25,11788.5,11575.25,11616.25,506250,0.0,0.0
2022-11-29 00:00:00-05:00,11625.0,11704.5,11465.0,11524.75,555859,0.0,0.0
2022-11-30 00:00:00-05:00,11520.0,12078.5,11497.75,12042.25,769082,0.0,0.0
2022-12-01 00:00:00-05:00,12079.25,12145.0,11943.25,12062.75,629297,0.0,0.0
2022-12-02 00:00:00-05:00,12039.75,12067.75,11740.5,12010.25,588295,0.0,0.0
2022-12-05 00:00:00-05:00,12000.5,12015.75,11745.5,11805.75,537924,0.0,0.0
2022-12-06 00:00:00-05:00,11812.0,11846.25,11502.0,11566.0,657271,0.0,0.0
2022-12-07 00:00:00-05:00,11566.0,11596.25,11422.5,11509.5,634691,0.0,0.0
2022-12-08 00:00:00-05:00,11500.0,11685.75,11433.0,11645.5,600826,0.0,0.0
2022-12-09 00:00:00-05:00,11641.5,11748.0,11517.0,11569.75,504052,0.0,0.0
2022-12-12 00:00:00-05:00,11553.0,11716.0,11522.75,11711.75,354886,0.0,0.0
2022-12-13 00:00:00-05:00,11691.25,12229.5,11680.5,11839.75,407612,0.0,0.0
2022-12-14 00:00:00-05:00,11839.0,11948.5,11613.75,11750.75,197122,0.0,0.0
2022-12-15 00:00:00-05:00,11758.75,11779.5,11298.25,11347.25,182838,0.0,0.0
2022-12-16 00:00:00-05:00,11340.25,11381.25,11206.5,11327.0400390625,665526,0.0,0.0
2022-12-19 00:00:00-05:00,11328.75,11411.0,11131.75,11193.25,562529,0.0,0.0
2022-12-20 00:00:00-05:00,11182.5,11247.0,11043.5,11175.75,625090,0.0,0.0
2022-12-21 00:00:00-05:00,11206.5,11389.75,11181.0,11334.5,631322,0.0,0.0
2022-12-22 00:00:00-05:00,11357.0,11384.75,10870.5,11054.25,714500,0.0,0.0
2022-12-23 00:00:00-05:00,11061.0,11143.0,10916.25,11075.25,534525,0.0,0.0
2022-12-27 00:00:00-05:00,11104.0,11183.75,10896.0,10915.5,499799,0.0,0.0
2022-12-28 00:00:00-05:00,10915.75,10996.5,10758.75,10772.75,635572,0.0,0.0
2022-12-29 00:00:00-05:00,10785.75,11071.5,10777.5,11032.75,470004,0.0,0.0
2022-12-30 00:00:00-05:00,11033.5,11051.5,10855.5,11022.25,462484,0.0,0.0
2023-01-03 00:00:00-05:00,11122.5,11182.0,10844.75,10945.5,657681,0.0,0.0
2023-01-04 00:00:00-05:00,10941.25,11068.5,10863.5,10999.25,758003,0.0,0.0
2023-01-05 00:00:00-05:00,10988.5,11046.75,10805.0,10820.25,694452,0.0,0.0
2023-01-06 00:00:00-05:00,10838.75,11165.75,10751.0,11113.5,736332,0.0,0.0
2023-01-09 00:00:00-05:00,11126.5,11385.5,11120.25,11185.5,646318,0.0,0.0
2023-01-10 00:00:00-05:00,11184.75,11288.75,11094.0,11282.0,559281,0.0,0.0
2023-01-11 00:00:00-05:00,11282.5,11479.5,11239.75,11476.5,500153,0.0,0.0
2023-01-12 00:00:00-05:00,11474.5,11579.75,11291.0,11534.25,754571,0.0,0.0
2023-01-13 00:00:00-05:00,11528.5,11619.5,11389.0,11608.0,482002,0.0,0.0
2023-01-16 00:00:00-05:00,11613.5,11638.75,11510.25,11564.0,482002,0.0,0.0
2023-01-17 00:00:00-05:00,11613.5,11685.0,11510.25,11624.5,576141,0.0,0.0
2023-01-18 00:00:00-05:00,11619.75,11759.5,11468.0,11475.75,619614,0.0,0.0
2023-01-19 00:00:00-05:00,11470.5,11487.0,11308.5,11356.5,594769,0.0,0.0
2023-01-20 00:00:00-05:00,11401.0,11686.75,11365.25,11677.0,577769,0.0,0.0
2023-01-23 00:00:00-05:00,11676.75,11983.0,11650.5,11934.0,593978,0.0,0.0
2023-01-24 00:00:00-05:00,11933.0,12010.5,11835.75,11909.5,511370,0.0,0.0
2023-01-25 00:00:00-05:00,11970.5,11976.5,11604.5,11873.25,633473,0.0,0.0
2023-01-26 00:00:00-05:00,11874.75,12113.0,11867.25,12106.75,621434,0.0,0.0
2023-01-27 00:00:00-05:00,12049.0,12308.5,12016.0,12222.25,588072,0.0,0.0
2023-01-30 00:00:00-05:00,12212.5,12252.0,11960.0,11968.0,634667,0.0,0.0
2023-01-31 00:00:00-05:00,11984.0,12156.0,11871.0,12152.0,585202,0.0,0.0
2023-02-01 00:00:00-05:00,12116.0,12524.5,12055.25,12414.25,668515,0.0,0.0
2023-02-02 00:00:00-05:00,12520.0,12949.75,12501.75,12846.75,817822,0.0,0.0
2023-02-03 00:00:00-05:00,12748.25,12878.0,12551.25,12624.0,824209,0.0,0.0
2023-02-06 00:00:00-05:00,12572.0,12608.5,12455.75,12515.5,535147,0.0,0.0
2023-02-07 00:00:00-05:00,12513.0,12818.5,12459.25,12776.75,744996,0.0,0.0
2023-02-08 00:00:00-05:00,12747.0,12808.5,12512.75,12545.25,590355,0.0,0.0
2023-02-09 00:00:00-05:00,12555.0,12728.5,12366.5,12425.5,612404,0.0,0.0
2023-02-10 00:00:00-05:00,12448.75,12451.5,12243.25,12346.25,600244,0.0,0.0
2023-02-13 00:00:00-05:00,12357.5,12567.0,12265.25,12540.5,467840,0.0,0.0
2023-02-14 00:00:00-05:00,12547.25,12687.0,12390.5,12631.0,719204,0.0,0.0
2023-02-15 00:00:00-05:00,12620.75,12756.5,12524.25,12730.0,568579,0.0,0.0
2023-02-16 00:00:00-05:00,12740.0,12792.75,12455.25,12482.5,682325,0.0,0.0
2023-02-17 00:00:00-05:00,12462.5,12466.25,12265.75,12390.0,629355,0.0,0.0
2023-02-21 00:00:00-05:00,12380.0,12417.75,12090.25,12096.75,609494,0.0,0.0
2023-02-22 00:00:00-05:00,12108.0,12190.5,12034.0,12097.5,640711,0.0,0.0
2023-02-23 00:00:00-05:00,12176.25,12261.0,12028.5,12207.5,640962,0.0,0.0
2023-02-24 00:00:00-05:00,12190.0,12214.5,11923.0,11997.0,643618,0.0,0.0
2023-02-27 00:00:00-05:00,12003.0,12189.5,11990.0,12083.25,578952,0.0,0.0
2023-02-28 00:00:00-05:00,12093.5,12172.75,12025.75,12072.25,646026,0.0,0.0
2023-03-01 00:00:00-05:00,12041.25,12141.75,11924.75,11961.75,759645,0.0,0.0
2023-03-02 00:00:00-05:00,11967.0,12096.25,11832.5,12062.0,752009,0.0,0.0
2023-03-03 00:00:00-05:00,12049.0,12329.0,12012.0,12311.25,675472,0.0,0.0
2023-03-06 00:00:00-05:00,12306.25,12486.25,12276.25,12323.5,612506,0.0,0.0
